"asn_number","organization_name","organization_country","rir_registry","asn_type","is_known_hosting","is_known_vpn","first_seen","last_seen","unique_ip_count","total_session_count","enrichment","enrichment_updated_at","created_at","updated_at"
206617,"Neomedia S.r.l.","IT",NULL,NULL,False,False,"2025-11-06 19:02:00.039239+00","2025-11-06 19:02:00.039239+00",0,0,"{}",NULL,"2025-11-06 19:02:00.039239+00","2025-11-06 19:02:00.039239+00"
206728,"Media Land LLC","RU",NULL,NULL,False,False,"2025-11-06 19:02:15.493282+00","2025-11-06 19:02:15.515191+00",0,0,"{}",NULL,"2025-11-06 19:02:15.493282+00","2025-11-06 19:02:15.515191+00"
206804,"EstNOC OU","HK",NULL,NULL,False,False,"2025-11-06 19:00:16.27503+00","2025-11-06 19:01:21.573562+00",0,0,"{}",NULL,"2025-11-06 19:00:16.27503+00","2025-11-06 19:01:21.573562+00"
206805,"LLC T1Cloud","RU",NULL,NULL,False,False,"2025-11-06 19:01:34.921468+00","2025-11-06 19:03:09.886023+00",0,0,"{}",NULL,"2025-11-06 19:01:34.921468+00","2025-11-06 19:03:09.886023+00"
206853,"Nolu Network S.l.","ES",NULL,NULL,False,False,"2025-11-06 19:00:45.553283+00","2025-11-06 19:00:45.553283+00",0,0,"{}",NULL,"2025-11-06 19:00:45.553283+00","2025-11-06 19:00:45.553283+00"
206888,"HanMing HK Limited","HK",NULL,NULL,False,False,"2025-11-06 18:59:21.72662+00","2025-11-06 19:03:02.49945+00",0,0,"{}",NULL,"2025-11-06 18:59:21.72662+00","2025-11-06 19:03:02.49945+00"
206926,"Letit LLC","RU",NULL,NULL,False,False,"2025-11-06 19:01:19.730018+00","2025-11-06 19:01:19.730018+00",0,0,"{}",NULL,"2025-11-06 19:01:19.730018+00","2025-11-06 19:01:19.730018+00"
206957,"PHU Kario-Sat Sp. z o.o.","PL",NULL,NULL,False,False,"2025-11-06 19:03:27.625135+00","2025-11-06 19:03:27.625135+00",0,0,"{}",NULL,"2025-11-06 19:03:27.625135+00","2025-11-06 19:03:27.625135+00"
206975,"Mala Yuliia Viktorivna","UA",NULL,NULL,False,False,"2025-11-06 19:02:15.786453+00","2025-11-06 19:02:15.786453+00",0,0,"{}",NULL,"2025-11-06 19:02:15.786453+00","2025-11-06 19:02:15.786453+00"
206992,"Salvatore Intravaia","IT",NULL,NULL,False,False,"2025-11-06 19:01:00.793739+00","2025-11-06 19:01:00.799595+00",0,0,"{}",NULL,"2025-11-06 19:01:00.793739+00","2025-11-06 19:01:00.799595+00"
