"attack_date","session_count","total_commands","avg_commands_per_session","total_file_downloads","total_login_attempts","total_ssh_key_injections","vt_flagged_sessions","dshield_flagged_sessions","avg_duration_seconds","command_count_stddev"
"2025-07-07","33","45","1.3636363636363636","3","21","4","0","0","15.9852029090909091","5.0979050955893994"
"2025-07-05","846","363","0.42907801418439716312","33","452","38","0","62","11.0773409751773050","2.8495291173027674"
"2025-07-04","877","323","0.36830102622576966933","34","499","46","0","21","10.5156856670467503","2.5991829521733957"
"2025-07-03","921","278","0.30184581976112920738","25","502","26","0","95","8.4285443745928339","2.4348214071874486"
"2025-07-02","707","354","0.50070721357850070721","24","386","30","0","92","10.6580512390381895","3.1059546315684472"
"2025-07-01","1908","783","0.41037735849056603774","74","1435","78","0","44","8.8305982693920335","2.8118479693575582"
"2025-06-30","849","262","0.30859835100117785630","31","515","44","0","6","11.3036715441696113","2.2853995233167707"
"2025-06-29","845","511","0.60473372781065088757","33","579","44","0","39","7.2715337763313609","3.4620455739045907"
"2025-06-28","877","736","0.83922462941847206385","45","558","68","0","22","10.8602573363740023","4.0989934549008053"
"2025-06-27","833","426","0.51140456182472989196","32","555","38","0","25","7.8832901416566627","3.0603194074796298"
"2025-06-26","804","377","0.46890547263681592040","32","551","54","0","15","10.6940643134328358","3.0213484154581432"
"2025-06-25","662","368","0.55589123867069486405","26","409","32","0","47","11.5896342401812689","3.3075881272644197"
"2025-06-24","864","344","0.39814814814814814815","22","591","30","0","39","8.3759146168981481","2.8224881237336776"
"2025-06-23","1344","768","0.57142857142857142857","55","985","70","0","69","6.2017341488095238","3.3731830670494864"
"2025-06-22","1077","590","0.54781801299907149489","31","762","50","0","103","8.2178895831012071","3.3323896797947217"
"2025-06-21","933","740","0.79314040728831725616","40","657","66","0","34","8.2001038606645230","4.0383191509622651"
"2025-06-20","1085","550","0.50691244239631336406","28","780","48","0","36","7.6084829013824885","3.2356977604435090"
"2025-06-19","790","283","0.35822784810126582278","14","427","24","0","62","10.6054771139240506","2.7013636698508478"
"2025-06-18","2441","194","0.07947562474395739451","11","2102","14","0","12","4.0086874731667349","1.2361663585058060"
"2025-06-17","1003","542","0.54037886340977068794","30","667","48","0","56","8.9365713748753739","3.3368915124857903"
"2025-06-16","497","201","0.40442655935613682093","11","237","18","0","23","12.8824595935613682","2.8651515264106327"
"2025-06-15","617","163","0.26418152350081037277","9","197","14","0","113","14.3625073144246353","2.3306046856474740"
"2025-06-14","993","482","0.48539778449144008056","24","621","42","0","55","8.0848186233635448","3.1775482325269917"
"2025-06-13","1403","801","0.57091945830363506771","52","1108","94","0","84","8.0793064789736279","3.4119966997702493"
"2025-06-12","1353","616","0.45528455284552845528","28","1004","75","0","73","10.4473614693274205","3.0330458936656753"
"2025-06-11","1383","604","0.43673174258857556038","31","1078","78","0","39","6.2533986341287057","2.9966471890910819"
"2025-06-10","1763","1263","0.71639251276233692569","77","1510","177","0","115","6.1091230657969370","3.8418063123249076"
"2025-06-09","2622","473","0.18039664378337147216","45","982","96","0","83","16.6156038764302059","1.8708462715168244"
