snapshot_asn,snapshot_country,snapshot_ip_type,session_count,days_active,avg_commands,avg_duration_sec,total_downloads,total_ssh_injections,asn_concentration,countries_per_asn
131423,VN,,1349,43,1.0889547813194959,4.5685680029651594,175,258,0.00096783126877011532,1
266841,VE,,1340,17,1.1313432835820896,1.9911534805970149,203,235,0.00096137427735504413,1
138163,BD,,1337,1,0.00074794315632011967,2.6593344031413613,0,0,0.00095922194688335373,1
51167,XX,,1326,41,0.94720965309200603318,2.9331671553544495,183,196,0.00095133006848715561,1
26210,BO,,1326,37,0.83634992458521870287,2.7952484087481146,181,260,0.00095133006848715561,1
4609,MO,,1323,49,0.26001511715797430083,22.7540433272864701,29,37,0.00094917773801546521,1
9299,PH,,1309,37,1.1252864782276547,3.7206575966386555,187,233,0.00093913352914757669,1
4811,CN,,1300,28,0.35461538461538461538,60.7952444653846154,36,60,0.00093267653773250550,1
204428,BG,,1271,30,0.00000000000000000000,6.6932191998426436,0,0,0.00091187067650616499,1
36903,MA,,1264,17,1.1677215189873418,2.8579962143987342,199,355,0.00090684857207222073,1
11492,US,,1256,29,0.98089171974522292994,3.2946935589171975,180,207,0.00090110902414771301,1
52468,PA,,1231,15,1.0593013809910642,2.1680828594638505,180,283,0.00088317293688362636,1
14593,BR,,1231,12,0.52396425670186839968,10.6607539569455727,163,257,0.00088317293688362636,1
45117,IN,,1211,34,1.3047068538398018,3.9310383567299752,188,235,0.00086882406707235705,1
9335,TH,,1202,32,1.1705490848585691,4.1577826081530782,167,203,0.00086236707565728585,1
202468,IR,,1144,34,1.4667832167832168,3.5373304781468531,176,201,0.00082075535320460484,1
142002,SG,,1142,46,0.88704028021015761821,3.8337716155866900,116,161,0.00081932046622347791,1
213438,GB,,1139,99,0.00000000000000000000,117.2902162660228270,0,0,0.00081716813575178751,1
49870,NL,,1125,27,0.03911111111111111111,1.2272247360000000,2,5,0.00080712392688389899,1
